customer_id,name,email,country
1,Raymond Hall,steventhomas@yahoo.com,Sudan
2,Deborah Brown,elizabeth18@hotmail.com,Mauritania
3,Meghan Rose,jbyrd@gmail.com,Tajikistan
4,Philip Lopez,kyle27@yahoo.com,Ghana
5,Tracey Johnson,richard77@gmail.com,Burkina Faso
6,Natasha Thomas DDS,brittanysutton@hotmail.com,Jordan
7,Elizabeth Hardin,cperez@patel.com,Luxembourg
8,Kristin Schneider,lhopkins@flores-conner.net,Bouvet Island (Bouvetoya)
9,Christine Jarvis,david10@hotmail.com,Netherlands Antilles
10,James Boyle,wendyjones@yahoo.com,Marshall Islands
